Morph           	cat
Vnum 1000
Damroll -5~
Description The black cat has intelligent glowing green eyes and there is an aura of magic
about it. It stares dispassionately at you.
~
Hit             	-30~
Hitroll         	-3~
Keywords        	black cat~
Longdesc        	A black cat with strangely glowing green eyes is here.
~
MorphOther      	A red glow surrounds $n as $e is transformed into a cat!~
MorphSelf       	A red glow surrounds you as you are transformed into a cat!~
NoSkills         trance meditate~
ShortDesc       	A black cat~
Skills          	claw~
UnmorphOther    	$n reverts back to $s own form.~
UnmorphSelf     	You revert back to your own form.~
Affected        	33280
Class           	Mage Necromancer~
Timer		24
Used       	16
ManaUsed		15
Armor        	20
Charisma        	-3
Dexterity       	1
Level        	15
Strength        	-3
End

Morph           	eagle
Vnum 1004
Damroll 1~
Description The eagle is very powerful and aggresive looking with its hooked silver beak
and sharp claws. Its feathers seem to glow with an irridiscent light.
~
Hit             	-30~
Hitroll         	2~
Keywords        	eagle~
Longdesc        	An eagle with silvery feathers is here.
~
MorphOther      	A red glow surrounds $n as $e is transformed into an eagle!~
MorphSelf       	A red glow surrounds you as you are transformed into an eagle!~
NoSkills         trance meditate~
ShortDesc       	An eagle~
Skills          	claw~
UnmorphOther    	$n reverts back to $s own form.~
UnmorphSelf     	You revert back to your own form.~
Affected        	526336
Class           	Mage Druid~
Timer		24
Used       	6
ManaUsed		24
HpUsed		10
Armor        	5
Dexterity       	3
Dodge        	10
Level        	35
Strength        	-2
End

Morph           	wolf
Vnum 1003
Damroll 3~
Description The wolf has a silvery mane and it seems to be glowing with a magical light.
~
Hit             	-40~
Hitroll         	3~
Keywords        	wolf~
Longdesc        	A wolf with a silvery mane is standing here.
~
MorphOther      	A red glow surrounds $n as $e is transformed into a wolf!~
MorphSelf       	A red glow surrounds you as you revert into a wolf!~
NoSkills         trance meditate~
ShortDesc       	A wolf~
Skills          	bite claw~
UnmorphOther    	$n reverts back to $s own form.~
UnmorphSelf     	You revert back to your own form.~
Affected        	1073774592
Class           	Mage Druid~
Timer		24
Used       	6
ManaUsed		22
HpUsed		10
Armor        	-10
Dexterity       	2
Dodge        	10
Intelligence    	-2
Level        	30
Strength        	1
Wisdom          	-1
End

Morph           	snake
Vnum 1002
Damroll 2~
Description The snake has a shiny silvery set of scales covering its long body. Its tongue
flicks in and out in rapid motion as it regards you lazily.
~
Hit             	-30~
Hitroll         	-1~
Keywords        	snake~
Longdesc        	A snake is lying motionless here, its tongue flickering in and out.
~
MorphOther      	A red glow surrounds $n as $e is transformed into a snake!~
MorphSelf       	A red glow surrounds you as you revert into a snake!~
NoSkills         trance meditate~
ShortDesc       	A snake~
Skills          	poison bite~
UnmorphOther    	$n reverts back to $s own form.~
UnmorphSelf     	You revert back to your own form.~
Affected        	98304
Class           	Mage Druid~
Resistant       	256
Timer		24
Used       	3
ManaUsed		20
HpUsed		5
Armor        	-10
Charisma        	-4
Dexterity       	2
Level        	25
Strength        	-2
Wisdom          	-2
End

Morph           	owl
Vnum 1001
Damroll -3~
Description The owl has an unusual streak of silver feathers down its back. It huge liquid
eyes stare unblinkingly at you.
~
Hit             	-30~
Hitroll         	1~
Keywords        	owl~
Longdesc        	An owl is flying about here, observing all with its huge eyes.
~
MorphOther      	A red glow surrounds $n as $e is transformed into an owl!~
MorphSelf       	A red glow surrounds you as you are transformed into an owl!~
NoSkills         trance meditate~
ShortDesc       	An owl~
Skills          	claw~
UnmorphOther    	$n reverts back to $s own form.~
UnmorphSelf     	You revert back to your own form.~
Affected        	524800
Class           	Mage~
Timer		24
Used       	1
ManaUsed		18
HpUsed		5
Armor        	10
Charisma        	-2
Constitution    	-1
Dexterity       	2
Intelligence    	-1
Level        	20
Strength        	-2
Wisdom          	1
End

Morph           	mindflayer
Vnum 1005
Damroll 2~
Description You observe a repulsive looking member of the illithid race. Ugly it
may be, but an evil intelligence gleams in its milky pupiless eyes.
~
Hit             	-60~
Hitroll         	2~
Keywords        	mindflayer illithid~
Longdesc        	An ugly looking mindflayer stares at you with its pupiless eyes.
~
Mana            	40~
MorphOther      	A green glow surrounds $n as $e polymorphs into a mindflayer!~
MorphSelf       	A green glow surrounds you as you polymorph into a mindflayer!~
ShortDesc       	A mindflayer~
UnmorphOther    	$n sheds $s repulsive exterior and regains $s own form.~
UnmorphSelf     	You shed your repulsive exterior and regain your own form.~
Affected        	16
Class           	Mage~
Timer		24
ManaUsed		25
Charisma        	-3
Intelligence    	2
Level        	40
Strength        	-2
CastAllowed       1
End

Morph           	stalker
Vnum 1006
Damroll 2~
Description What? But you can't see anything standing here.
~
Help            	I wonder what this does
~
Hit             	-30~
Hitroll         	3~
Keywords        	invisible stalker~
Longdesc        	You thought you felt something stalking you... naah...
~
MorphOther      	$n fades out of view, gaining the form of an invisible stalker!~
MorphSelf       	You shed your form, fading into an incorporeal stalker!~
NoSkills         trance meditate~
ShortDesc       	An invisible stalker~
UnmorphOther    	$n slowly becomes visible again as $e regains $s own form.~
UnmorphSelf     	You feel yourself regain your form and fade back into visibility.~
Affected        	98826
Class           	Mage~
Suscept        	4
Timer		24
Used       	2
ManaUsed		29
Armor        	-10
Charisma        	-3
Constitution    	-1
Dexterity       	2
Intelligence    	-1
Level        	45
Strength        	-1
Wisdom          	-1
End

Morph           	shaman
Vnum 1007
Damroll 4~
Description A fearsome looking troll shaman frowns balefully at you. It looks
throughly mean and very dangerous indeed. A faint aura of magic
surrounds him.
~
Hit             	-50~
Hitroll         	1~
Keywords        	troll shaman~
Longdesc        	A wart-covered troll shaman is here, droning and chanting incantations.
~
Mana            	30~
MorphOther      	A green glow encompasses $n and a trollish visage replaces $s!~
MorphSelf       	A green glow fills your senses and you polymorph into a troll shaman!~
ShortDesc       	The troll shaman~
Skills          	weaken cause serious~
UnmorphOther    	The ugly troll visage melts away as $n regains $s own form again.~
UnmorphSelf     	You return to normal as you regain your own form.~
Affected        	512
Class           	Mage~
Resistant       	2
Suscept        	128
Timer		24
Sex		1
ManaUsed		32
Charisma        	-5
Constitution    	1
Dexterity       	-2
Intelligence    	-2
Level        	50
Strength        	2
Wisdom          	-2
CastAllowed       1
End

Morph           	hag
Vnum 1008
Damroll 2~
Description A slimy looking crone from the darkest parts of the sea. Her hair
is filled with foul smelling seaweed and other unmentionables. It
would not be wise to cross this fearsome creature.
~
Hit             	-60~
Hitroll         	3~
Keywords        	sea hag~
Longdesc        	A gangly sea hag creeps about the room, cackling insanely.
~
Mana            	40~
MorphOther      	$n's form melts and reforms into an ugly sea hag!!~
MorphSelf       	Your form melts and reforms into that of a sea hag!~
ShortDesc       	The sea hag~
Skills          	curse colour spray~
UnmorphOther    	The smell of seaweed fades as $n regains $s normal form.~
UnmorphSelf     	The taste of sea salt ebbs as you regain your normal form.~
Affected        	-2147483648
Class           	Mage~
Resistant       	2
Suscept        	1
Timer		24
Used       	1
Sex		2
ManaUsed		34
Armor        	-10
Charisma        	-2
Constitution    	-2
Dexterity       	1
Intelligence    	2
Luck        	-2
Level        	55
CastAllowed       1
End

Morph           	black
Vnum 1009
Damroll 4~
Description This enormous winged serpent has jet black scales covering most of its
colossal body. Numerous holes in its heavy wings tell of many fights as do
the nicks in the horns on its head. It smells as disgusting as only dragons
do from the acidic drool it spews from its maw.
~
Hit             	30~
Hitroll         	2~
Keywords        	black dragon~
Longdesc        	A ferocious black dragon stands here, its mouth dripping acid.
~
MorphOther      	Black scales cover $n's skin as $e changes into a black dragon!~
MorphSelf       	Black scales cover your skin as you polymorph into a black dragon!~
NoSkills         trance meditate~
ShortDesc       	A black dragon~
Skills          	bite claw acid breath acidbreath~
UnmorphOther    	The black reptilian scales on $n fades away as $e reverts to normal.~
UnmorphSelf     	The black reptilian scales on you fades away as you revert to normal.~
Affected        	524800
Class           	Mage~
Resistant       	128
Timer		24
ManaUsed		37
Armor        	-20
Charisma        	-2
Constitution    	1
Intelligence    	-2
Level        	60
Strength        	3
Wisdom          	-2
End

Morph           	iron
Vnum 1010
Damroll 8~
