#VERSION 4
#SKILL
Name         reserved~
Type         Spell
Info         0
Author	      Smaug~
Minpos       standing~
Slot         0
Ego          -2
Code         spell_null
Dammsg       ~
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         acetum primus~
Type         Spell
Info         10125
Author	      Smaug~
Flags        nobind noscribe nobrew~
Target       1
Minpos       fighting~
Saves        5
Slot         302
Mana         70
Rounds       24
Ego          29
Code         spell_smaug
Dammsg       acetum primus~
Wearoff      !Acetum Primus!~
Hitchar      &GYou invoke a stream of corrosive acid which burns $N!&z~
Hitvict      &GYou are corroded by a stream of acid from $n's hands!&z~
Hitroom      &G$n burns $N horribly with a stream of acid from $s hands!&z ~
Misschar     &GYour stream of acid misses $N by a hair!&z~
Missvict     &G$n very nearly misses you with $s stream of acid!&z~
Missroom     &G$n misses spraying $N with $s stream of acid!&z~
Diechar      &GYou reduce $N into a pile of sticky mess with your acid stream!&z~
Dievict      &GYou are reduced into a pile of sticky mess by the stream of acid!&z~
Dieroom      &G$N is reduced to a bubbling mess by $n's acid stream!&z~
Dice         ld6+(l/2) { 500~
Minlevel     60
Helptext     Acetum Primus is the fourth and most powerful of the known acid
disciplines at the Mage's disposal.  This incantation pulls forth the
strongest caustic agents in the casting Mage's neighboring planes,
and propels them in a tight cyclone-like blast towards the Mage's
chosen victim.~
End

#SKILL
Name         acid blast~
Type         Spell
Info         9101
Author	      Smaug~
Flags        nobrew~
Target       1
Minpos       fighting~
Saves        5
Slot         70
Mana         18
Rounds       18
Ego          18
Code         spell_smaug
Dammsg       acid blast~
Wearoff      !Acid Blast!~
Hitchar      &G$N is showered with your acid blast!&z~
Hitvict      &GYour skin is hit by $n's blast of acid!&z~
Hitroom      &G$N screams in pain as $n's blast of acid hits $M!&z~
Misschar     &GYour acid blast narrowly misses $N!&z~
Missvict     &GYou dodge nimbly out of the way of $n's acid blast!&z~
Missroom     &G$N dodges out of the way, narrowly avoiding $n's acid blast!&z~
Diechar      &GYour acid blast hits $N and corrodes a hole right through $M!&z~
Dievict      &G$n's acid blast corrodes a hole right through you!&z~
Dieroom      &GThe acid blast from $n dissolves a hole right through $N!&z~
Dice         ld4{200~
Minlevel     15
Helptext     Acid Blast creates a powerful blast that deals a damaging blow of harmful
