#SOCIAL
Name        7up
CharNoArg   You tell everyone in the room to "Make 7 Up Yours"
OthersNoArg $n tells everyone in the room to "Make 7 Up Yours"
CharFound   You tell $N to "Make 7 Up Yours"
OthersFound $n tells $N to "Make 7 Up Yours"
VictFound   $n tells you to "Make 7 Up Yours"
CharAuto    You tell yourself to "Make 7 Up Yours"
OthersAuto  $n tells himself to "Make 7 Up Yours"....weird dude.
End

#SOCIAL
Name        accept
CharNoArg   You gracefully accept.
OthersNoArg $n gracefully accepts.
CharFound   You smile at $N and gracefully accept.
OthersFound $n smiles at $N and gracefully accepts.
VictFound   $n smiles at you and gracefully accepts.
CharAuto    You accept yourself exactly as you are. There!
OthersAuto  $n looks philosophical for a moment, then smiles.
End

#SOCIAL
Name        accuse
CharNoArg   Accuse whom?
OthersNoArg $n is in an accusing mood.
CharFound   You look accusingly at $M.
OthersFound $n looks accusingly at $N.
VictFound   $n looks accusingly at you.
CharAuto    You accuse yourself.
OthersAuto  $n seems to have a bad conscience.
End

#SOCIAL
Name        acid
CharNoArg   You stare at the wall and think 'Hey, that's pretty cool.'
OthersNoArg $n stares at the wall.  You wonder what $e's been smoking.
End

#SOCIAL
Name        ack
CharNoArg   ACKPPHHHFFFFTTT!
OthersNoArg $n goes: Ackphfft!
CharFound   You ACK $M.
OthersFound $n ACKS $N.
VictFound   $n ACKS you.
CharAuto    You ACK yourself.
OthersAuto  $n ACKS $mself.  Must be a bad day.
End

#SOCIAL
Name        act
CharNoArg   You jump into the spotlight and begin:  "To Be, Or Not To Be..."
OthersNoArg $n jumps into the spotlight and begins:  "To Be, Or Not To Be..."
CharFound   You pull $N into a scene where you INSIST on being Juliet:  "Oh Romeo!!"
OthersFound $n pulls $N into a scene where $e INSISTS on being Juliet:  "Oh Romeo!!"
VictFound   $n pulls you into a scene where $e INSISTS on being Juliet:  "Oh Romeo!!"
CharAuto    You promote 'Hamlet', which you directed/produced/performed all roles/lights...
OthersAuto  $n promotes 'Hamlet', which $e directed/produced/performed all roles/lights...
End

#SOCIAL
Name        addict
CharNoArg   You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'
OthersNoArg $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'
CharFound   You tell $M that you are addicted to $S love.
OthersFound $n tells $N that $e is addicted to $S love.
VictFound   $n tells you that $e is addicted to your love.
CharAuto    You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'
OthersAuto  $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'
End

#SOCIAL
Name        admit
CharNoArg   Yes, thats right, you did it.
OthersNoArg $n says to you all, "I didn't do it!....Ok, I did."
CharFound   You feel so guilty that you break down and tell $N that you did it.
OthersFound $n breaks down crying in front of $N because of the guilt of what $e did.
VictFound   You always knew $n was the culprit, its about time $e admitted it.
CharAuto    You admit to yourself that you are the culprit, but no one else has to know!
End

#SOCIAL
Name        afk
CharNoArg   You tell the room you are afk.
OthersNoArg $n says $e is afk, so do not bother $m.
End

#SOCIAL
Name        afw
