#WTYPE
Name    Not Defined
Type    0
BaseDam 0
Weight  0
Cost    0
Skill   0
DamType 0
Flags   brittle
End

#WTYPE
Name    Dagger
Type    1
BaseDam 4
Weight  4
Cost    200
Skill   2
DamType 6
Flags   anticleric antimonk metal
End

#WTYPE
Name    Claw
Type    2
BaseDam 5
Weight  4
Cost    300
Skill   4
DamType 1
Flags   anticleric antimonk metal
End

#WTYPE
Name    Shortsword
Type    3
BaseDam 6
Weight  6
Cost    500
Skill   1
DamType 6
Flags   anticleric antimonk antimage antinecro antidruid metal
End

#WTYPE
Name    Longsword
Type    4
BaseDam 8
Weight  10
Cost    800
Skill   1
DamType 1
Flags   anticleric antimonk antimage antinecro antidruid metal
End

#WTYPE
Name    Claymore
Type    5
BaseDam 10
Weight  20
Cost    1600
Skill   1
DamType 1
Flags   anticleric antimonk antimage antinecro antidruid antibard antirogue twohand metal
End

#WTYPE
Name    Mace
Type    6
BaseDam 8
Weight  12
Cost    700
Skill   5
DamType 4
Flags   antimonk antimage antinecro antirogue metal
End

#WTYPE
Name    Maul
Type    7
BaseDam 10
Weight  24
Cost    1500
Skill   5
DamType 4
Flags   antimonk antimage antinecro antirogue twohand metal
End

#WTYPE
Name    Staff
Type    8
BaseDam 7
Weight  8
Cost    600
Skill   11
DamType 4
Flags   twohand
End

#WTYPE
Name    Axe
Type    9
BaseDam 9
Weight  14
Cost    800
Skill   9
DamType 3
Flags   anticleric antimonk antimage antinecro antidruid antirogue metal
End

#WTYPE
Name    War Axe
Type    10
BaseDam 11
Weight  26
Cost    1600
Skill   9
DamType 3
Flags   anticleric antimonk antimage antinecro antidruid antirogue twohand metal
End

#WTYPE
Name    Spear
Type    11
BaseDam 7
Weight  10
Cost    600
Skill   10
DamType 7
Flags   antimage anticleric antinecro twohand
End

#WTYPE
Name    Pike
Type    12
BaseDam 9
Weight  15
Cost    900
Skill   10
DamType 7
Flags   anticleric antimonk antimage antinecro antidruid antirogue twohand
End

#WTYPE
Name    Whip
Type    13
BaseDam 5
Weight  2
Cost    150
Skill   3
DamType 5
Flags   antimonk organic
End

